itemCode,itemValue,itemValueEN
nurse,พยาบาล,Nurse
doctor,แพทย์,Doctor
dentist,ทันตแพทย์,Dentist
officer,เจ้าหน้าที่,Officer
volunteer,อาสาสมัคร,Volunteer
