itemCode,Abbrev,itemValue,itemValueEN
519,ว่าที่ ร.ต.,ว่าที่เรืออากาศตรี,
520,พ.อ.อ.,พันจ่าอากาศเอก,
521,พ.อ.ท.,พันจ่าอากาศโท,
522,พ.อ.ต.,พันจ่าอากาศตรี,
523,จ.อ.,จ่าอากาศเอก,
524,จ.ท.,จ่าอากาศโท,
525,จ.ต.,จ่าอากาศตรี,
526,พลฯ,พลฯทหารอากาศ,
527,นนอ.,นักเรียนนายเรืออากาศ,
528,นจอ.,นักเรียนจ่าอากาศ,
529,น.พ.อ.,นักเรียนพยาบาลทหารอากาศ,
530,พ.อ.อ.ม.ร.ว.,พันอากาศเอกหม่อมราชวงศ์,
531,พล.อ.ต.ม.ร.ว.,พลอากาศตรีหม่อมราชวงศ์,
532,พล.อ.ท.ม.ล.,พลอากาศโทหม่อมหลวง,
533,ร.ท.ขุน,เรืออากาศโทขุน,
534,พ.อ.อ.ม.ล.,พันจ่าอากาศเอกหม่อมหลวง,
535,ร.อ.น.พ.,เรืออากาศเอกนายแพทย์,
536,พล.อ.อ.ม.ร.ว.,พลอากาศเอกหม่อมราชวงศ์,
537,พล.อ.ต.ม.ล.,พลอากาศตรีหม่อมหลวง,
538,พล.อ.จ.,พลอากาศจัตวา,
539,พล.อ.ท.ม.ร.ว.,พลอากาศโทหม่อมราชวงศ์,
540,น.อ.ม.ล.,นาวาอากาศเอกหม่อมหลวง,
606,พระครูพิบูลสมณธรรม,พระครูพิบูลสมณธรรม,
651,พล.ต.อ.,พลตำรวจเอก,
652,ว่าที่ พล.ต.อ.,ว่าที่พลตำรวจเอก,
653,พล.ต.ท.,พลตำรวจโท,
654,ว่าที่ พล.ต.ท.,ว่าที่พลตำรวจโท,
655,พล.ต.ต.,พลตำรวจตรี,
656,ว่าที่ พล.ต.ต.,ว่าที่พลตำรวจตรี,
657,พล.ต.จ.,พลตำรวจจัตวา,
658,ว่าที่พล.ต.จ.,ว่าที่พลตำรวจจัตวา,
659,พ.ต.อ. (พิเศษ),พันตำรวจเอก (พิเศษ),
660,ว่าที่ พ.ต.อ.พิเศษ,ว่าที่พันตำรวจเอก(พิเศษ),
661,พ.ต.อ.,พันตำรวจเอก,
662,ว่าที่ พ.ต.อ.,ว่าที่พันตำรวจเอก,
663,พ.ต.ท.,พันตำรวจโท,
664,ว่าที่ พ.ต.ท.,ว่าที่พันตำรวจโท,
665,พ.ต.ต.,พันตำรวจตรี,
666,ว่าที่ พ.ต.ต.,ว่าที่พันตำรวจตรี,
667,ร.ต.อ.,ร้อยตำรวจเอก,
668,ว่าที่ ร.ต.อ.,ว่าที่ร้อยตำรวจเอก,
669,ร.ต.ท.,ร้อยตำรวจโท,
670,ว่าที่ ร.ต.ท.,ว่าที่ร้อยตำรวจโท,
671,ร.ต.ต.,ร้อยตำรวจตรี,
672,ว่าที่ ร.ต.ต.,ว่าที่ร้อยตำรวจตรี,
673,ด.ต.,นายดาบตำรวจ,
674,จ.ส.ต.,จ่าสิบตำรวจ,
675,ส.ต.อ.,สิบตำรวจเอก,
676,ส.ต.ท.,สิบตำรวจโท,
677,ส.ต.ต.,สิบตำรวจตรี,
678,นรต.,นักเรียนนายร้อยตำรวจ,
679,นสต.,นักเรียนนายสิบตำรวจ,
680,นพต.,นักเรียนพลตำรวจ,
681,พลฯ,พลตำรวจ,
682,พลฯพิเศษ,พลตำรวจพิเศษ,
683,พลฯอาสา,พลตำรวจอาสาสมัคร,
684,พลฯสำรอง,พลตำรวจสำรอง,
685,พลฯสำรองพิเศษ,พลตำรวจสำรองพิเศษ,
686,พลฯสมัคร,พลตำรวจสมัคร,
687,อส.,สมาชิกอาสารักษาดินแดน,
688,ก.ญ.,นายกองใหญ่,
689,ก.อ.,นายกองเอก,
690,ก.ท.,นายกองโท,
691,ก.ต.,นายกองตรี,
692,มว.อ.,นายหมวดเอก,
693,มว.ท.,นายหมวดโท,
694,มว.ต.,นายหมวดตรี,
695,ม.ญ.,นายหมู่ใหญ่,
696,ม.อ.,นายหมู่เอก,
697,ม.ท.,นายหมู่โท,
698,ม.ต.,นายหมู่ตรี,
699,สมาชิกเอก,สมาชิกเอก,
700,สมาชิกโท,สมาชิกโท,
701,สมาชิกตรี,สมาชิกตรี,
702,อส.ทพ.,อาสาสมัครทหารพราน,
703,พ.ต.ท.ม.จ.,พันตำรวจโทหม่อมเจ้า,
704,พ.ต.อ.ม.จ.,พันตำรวจเอกหม่อมเจ้า,
705,นรต.ม.จ.,นักเรียนนายร้อยตำรวจหม่อมเจ้า,
706,พล.ต.ต.ม.ร.ว.,พลตำรวจตรีหม่อมราชวงศ์,
